time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,activity_label
5298835.0,-0.622559,1.849121,0.101563,0.068214,0.140959,0.032775,0.314453,-1.865723,0.709961,0.018652,0.29604,0.065816,chewing
5298845.0,-0.608398,1.859863,0.092285,0.174,0.202245,-0.065283,0.289063,-1.86377,0.711914,0.011724,0.341871,-0.002132,chewing
5298855.0,-0.595215,1.884766,0.092773,0.136429,0.123905,-0.034374,0.287598,-1.879883,0.715332,-0.024781,0.324551,-0.022116,chewing
5298865.0,-0.632324,1.832031,0.09082,0.107917,0.081005,-0.162809,0.288574,-1.882813,0.723633,-0.067149,0.256603,-0.001865,chewing
5298875.0,-0.635254,1.87793,0.086914,0.123106,0.025047,-0.205709,0.28125,-1.885742,0.719238,-0.122839,0.203044,0.027179,chewing
5298885.0,-0.632324,1.870605,0.079102,0.178263,0.021583,-0.237152,0.286621,-1.903809,0.71582,-0.167338,0.158279,0.022649,chewing
5298895.0,-0.630371,1.883301,0.080566,0.189988,0.008793,-0.217966,0.277344,-1.903809,0.736328,-0.192652,0.106319,0.007994,chewing
5298905.0,-0.629395,1.890137,0.077148,0.162009,-0.024781,-0.180928,0.285645,-1.902344,0.738281,-0.233688,0.066349,0.017853,chewing
5298915.0,-0.640625,1.895996,0.072754,0.145489,-0.002665,-0.145222,0.286621,-1.897949,0.748535,-0.222763,0.037571,0.021051,chewing
5298925.0,-0.658691,1.871094,0.0625,0.118842,0.022649,-0.083403,0.290039,-1.902344,0.73291,-0.193185,0.017853,-0.013057,chewing
5298935.0,-0.657715,1.875977,0.066895,0.102322,0.016787,-0.046098,0.310059,-1.901367,0.729004,-0.134297,0.01732,-0.038637,chewing
5298945.0,-0.663086,1.858887,0.060059,0.120441,0.05276,-0.049029,0.307617,-1.897949,0.733887,-0.085268,0.007194,-0.075942,chewing
5298955.0,-0.644531,1.868652,0.062988,0.07008,-0.03544,-0.007727,0.297852,-1.893066,0.730957,-0.028778,0.014922,-0.058888,chewing
5298965.0,-0.654297,1.861328,0.065918,-0.001066,-0.061553,0.00826,0.311035,-1.877441,0.729004,0.018386,-0.002665,-0.066349,chewing
5298975.0,-0.657715,1.855469,0.060059,-0.022116,-0.062086,0.032242,0.318359,-1.885742,0.726562,0.029577,0.010925,-0.047164,chewing
5298985.0,-0.649902,1.878418,0.071289,-0.044233,-0.027979,0.051161,0.319336,-1.87793,0.725586,0.037571,0.014123,-0.030377,chewing
5298995.0,-0.666992,1.862305,0.076172,-0.063951,-0.005329,0.074077,0.292969,-1.881836,0.735352,0.05276,0.066616,-0.001865,chewing
5299005.0,-0.656738,1.860352,0.068848,-0.080738,0.009859,0.066616,0.325684,-1.869629,0.726562,0.068481,0.051161,-0.027446,chewing
5299015.0,-0.660645,1.833984,0.075684,-0.10472,0.014655,0.046098,0.322266,-1.884766,0.723145,0.044499,0.084469,-0.006928,chewing
5299025.0,-0.649414,1.842773,0.080078,-0.119908,0.005063,-0.019718,0.312012,-1.874023,0.730469,0.035173,0.096193,0.008527,chewing
5299035.0,-0.614746,1.864258,0.075195,-0.15215,-0.046364,0.00826,0.312012,-1.867676,0.730469,0.035972,0.129234,0.024781,chewing
5299045.0,-0.637695,1.874512,0.085449,-0.181194,-0.072478,-0.041035,0.34082,-1.855469,0.712402,0.027712,0.128435,0.034374,chewing
5299055.0,-0.604492,1.919434,0.079102,-0.121507,-0.090597,-0.068747,0.314941,-1.874512,0.725586,-0.00826,0.138294,0.048496,chewing
