time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1971072.0,-0.252441,-1.911133,0.657227,-0.043966,0.046897,-0.01732,non_chewing,0.450000,0.000,non_chewing
1971082.0,-0.251465,-1.909668,0.673828,-0.039436,0.058355,-0.06102,non_chewing,0.450000,0.000,non_chewing
1971092.0,-0.250488,-1.92041,0.654785,-0.053292,0.065816,-0.072744,non_chewing,0.450000,0.000,non_chewing
1971102.0,-0.25293,-1.916016,0.653809,-0.07008,0.066083,-0.072211,non_chewing,0.450000,0.000,non_chewing
1971112.0,-0.244629,-1.92627,0.657227,-0.077807,0.031975,-0.019452,non_chewing,0.450000,0.000,non_chewing
1971122.0,-0.244141,-1.933105,0.642578,-0.084735,0.020251,-0.008527,non_chewing,0.450000,0.000,non_chewing
1971132.0,-0.23291,-1.929688,0.643066,-0.059155,0.030377,-0.011458,non_chewing,0.450000,0.000,non_chewing
1971142.0,-0.243652,-1.936035,0.631348,-0.044499,0.033841,0.004263,non_chewing,0.450000,0.000,non_chewing
1971152.0,-0.254883,-1.913574,0.637695,-0.027446,0.034107,0.012257,non_chewing,0.450000,0.000,non_chewing
1971162.0,-0.262207,-1.927734,0.63916,-0.022116,0.049562,0.012524,non_chewing,0.450000,0.000,non_chewing
1971172.0,-0.256348,-1.924316,0.639648,-0.018119,0.065816,0.000266,non_chewing,0.450000,0.000,non_chewing
1971182.0,-0.272461,-1.916504,0.642578,-0.021583,0.080472,0.008793,non_chewing,0.450000,0.000,non_chewing
1971192.0,-0.274902,-1.924805,0.640137,-0.018119,0.076208,0.041035,non_chewing,0.450000,0.000,non_chewing
1971202.0,-0.275391,-1.926758,0.646973,-0.014389,0.077541,0.075942,non_chewing,0.450000,0.000,non_chewing
1971212.0,-0.276367,-1.928223,0.640625,-0.000266,0.094328,0.054358,non_chewing,0.450000,0.000,non_chewing
1971222.0,-0.28125,-1.919434,0.652344,0.004263,0.096459,0.107384,non_chewing,0.450000,0.000,non_chewing
1971232.0,-0.276855,-1.932617,0.635742,0.015188,0.112714,0.110582,non_chewing,0.450000,0.000,non_chewing
1971242.0,-0.277344,-1.932617,0.63916,0.002665,0.12124,0.081271,non_chewing,0.450000,0.000,non_chewing
1971252.0,-0.28418,-1.92041,0.652832,0.011724,0.150018,0.065283,non_chewing,0.450000,0.000,non_chewing
1971262.0,-0.286621,-1.921875,0.650879,0.006662,0.164674,0.065017,non_chewing,0.450000,0.000,non_chewing
1971272.0,-0.273926,-1.927734,0.639648,-0.002398,0.166273,0.036239,non_chewing,0.450000,0.000,non_chewing
1971282.0,-0.291016,-1.924316,0.646484,0.008527,0.163075,0.020784,non_chewing,0.450000,0.000,non_chewing
1971292.0,-0.283203,-1.915039,0.642578,0.005596,0.159611,0.054891,non_chewing,0.450000,0.000,non_chewing
1971302.0,-0.280273,-1.92041,0.645996,0.004796,0.16494,0.043966,non_chewing,0.450000,0.000,non_chewing
1971312.0,-0.288086,-1.925293,0.649902,0.015455,0.171069,0.022916,non_chewing,0.450000,0.000,non_chewing
1971322.0,-0.292969,-1.912109,0.652832,0.011991,0.174266,-0.00373,non_chewing,0.450000,0.000,non_chewing
1971332.0,-0.287109,-1.910645,0.645996,0.007194,0.184925,0.003198,non_chewing,0.450000,0.000,non_chewing
1971342.0,-0.291016,-1.92334,0.64209,0.003464,0.193185,0.009326,non_chewing,0.450000,0.000,non_chewing
1971352.0,-0.294434,-1.90918,0.649414,0.003198,0.185191,0.057556,non_chewing,0.450000,0.000,non_chewing
1971362.0,-0.298828,-1.931152,0.655762,0.016787,0.181461,0.074876,non_chewing,0.450000,0.000,non_chewing
