time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
31987.0,0.088867,2.010254,0.369629,0.919562,0.062885,-0.517737,-0.078613,-1.765625,1.131836,0.249942,0.155348,-0.377844,still,0.800000,session_20260606_121208
31997.0,0.06543,1.922852,0.39502,0.810312,0.365587,-0.214502,-0.140137,-1.712891,1.112793,0.089798,-0.069014,0.013323,still,0.810000,session_20260606_121208
32007.0,0.056641,2.027344,0.30957,0.855611,0.779936,0.18226,-0.165527,-1.625,1.160645,-0.134297,-0.235819,0.33894,still,0.820000,session_20260606_121208
32017.0,0.118652,1.932129,0.30957,0.668021,1.023482,0.086067,-0.150391,-1.594727,1.160645,-0.170802,-0.438331,0.467109,still,0.830000,session_20260606_121208
32027.0,0.087402,2.059082,0.319336,0.541185,1.056524,-0.120974,-0.084473,-1.62207,1.179199,-0.174799,-0.55291,0.445259,still,0.840000,session_20260606_121208
32037.0,0.191895,2.136719,0.23291,0.399694,0.780469,-0.265397,-0.07373,-1.697754,1.141602,0.005063,-0.591813,0.284582,still,0.850000,session_20260606_121208
32047.0,0.15625,2.05127,0.32373,0.431136,0.614462,-0.077008,-0.105469,-1.718262,1.085938,0.163608,-0.58755,0.107917,still,0.860000,session_20260606_121208
32057.0,0.250977,1.872559,0.348145,0.321354,0.588616,-0.083403,-0.112793,-1.723145,1.118652,-0.015188,-0.567565,0.232355,still,0.870000,session_20260606_121208
32067.0,0.178711,1.983887,0.379883,0.322953,0.85641,0.163874,-0.108398,-1.72168,1.136719,-0.029044,-0.588349,0.284582,still,0.880000,session_20260606_121208
32077.0,0.060059,2.013672,0.209961,0.212904,1.185492,0.31709,-0.084961,-1.694824,1.145508,-0.03464,-0.55211,0.276322,still,0.890000,session_20260606_121208
32087.0,0.154785,1.961914,0.357422,-0.057556,0.871865,0.48283,-0.081543,-1.71582,1.162109,-0.040502,-0.47004,0.236619,still,0.900000,session_20260606_121208
32097.0,0.154785,1.925781,0.444336,-0.0429,1.091697,1.014956,-0.083496,-1.702148,1.148438,0.066349,-0.365054,0.097259,still,0.910000,session_20260606_121208
32107.0,0.090332,1.890625,0.328125,0.053026,0.481764,1.229458,-0.061523,-1.705078,1.179688,0.231822,-0.16574,-0.091663,still,0.920000,session_20260606_121208
32117.0,0.227539,2.033203,0.396484,-0.046631,0.711721,1.824202,-0.018555,-1.724609,1.186035,0.371182,0.124704,-0.348533,still,0.930000,session_20260606_121208
32127.0,0.256836,1.978516,0.316895,-0.249142,0.751158,1.880426,0.010254,-1.722168,1.196777,0.563035,0.512407,-0.730374,still,0.940000,session_20260606_121208
32137.0,0.10791,1.913086,0.425781,-0.349066,0.633115,2.022184,0.001953,-1.70166,1.220215,0.722646,0.847617,-1.062919,still,0.950000,session_20260606_121208
32147.0,0.217773,1.900391,-0.335449,1.182028,-0.845752,3.239118,-0.012695,-1.693848,1.189453,0.793525,1.147387,-1.333911,still,0.960000,session_20260606_121208
32157.0,-0.144531,1.794434,0.474121,-0.160677,0.149485,2.215902,0.013184,-1.747559,1.17041,0.74423,1.236652,-1.414383,still,0.970000,session_20260606_121208
32167.0,0.38623,2.030273,0.317383,-0.862539,1.294741,2.618793,0.025391,-1.762207,1.16748,0.756753,1.259835,-1.403458,still,0.980000,session_20260606_121208
32177.0,-0.011719,1.98291,0.304199,-1.157779,2.317957,0.406089,0.013672,-1.76416,1.17627,0.902242,1.324851,-1.510842,still,0.990000,session_20260606_121208
32187.0,0.164551,1.858398,0.330078,-2.110116,1.623556,1.621957,0.019043,-1.708496,1.199707,1.169504,1.329381,-1.656864,still,1.000000,session_20260606_121208
32197.0,0.768066,2.021973,0.234375,-1.577724,2.752024,0.361057,0.037598,-1.674805,1.218262,1.539887,1.460214,-1.989409,still,1.010000,session_20260606_121208
32207.0,0.223633,3.46582,-0.278809,-0.284315,3.606037,-0.585951,0.073242,-1.688965,1.234375,1.910269,1.450888,-2.250542,still,1.020000,session_20260606_121208
32217.0,0.766602,2.090332,0.400879,-0.628319,3.094162,0.07834,0.012207,-1.744629,1.170898,2.250542,1.20974,-2.314759,still,1.030000,session_20260606_121208
32227.0,0.291504,1.901367,0.520996,-2.238818,2.312095,0.496686,-0.037598,-1.750488,1.161621,2.452521,0.746095,-1.923593,still,1.040000,session_20260606_121208
32237.0,0.159668,2.164063,0.404785,-2.353663,2.412551,0.643507,0.0,-1.66748,1.245117,2.558306,0.619792,-1.355761,still,1.050000,session_20260606_121208
32247.0,0.237793,2.095215,0.535645,-1.719216,2.16634,0.846551,0.086426,-1.599609,1.316406,1.625688,0.768744,-1.333378,still,1.060000,session_20260606_121208
32257.0,0.331055,1.87793,0.54541,-0.843354,1.995804,0.893449,0.102539,-1.560059,1.341309,1.403458,0.643507,-0.91743,still,1.070000,session_20260606_121208
32267.0,0.362305,2.010254,0.449219,-1.336576,1.871632,0.53932,0.075684,-1.615723,1.310547,1.268894,0.420744,-0.523332,still,1.080000,session_20260606_121208
32277.0,0.342773,2.022949,0.608398,-0.8263,1.258769,-0.259002,0.094238,-1.574707,1.321777,1.087966,0.3917,-0.422609,still,1.090000,session_20260606_121208
32287.0,0.303711,1.944336,0.584473,-0.659495,1.264364,-0.203044,0.041504,-1.558594,1.319336,1.127936,0.396496,-0.349332,still,1.100000,session_20260606_121208
32297.0,0.318359,2.055176,0.552246,-0.741032,1.798355,-0.009859,0.050781,-1.584961,1.325684,1.060254,0.279786,-0.236086,still,1.110000,session_20260606_121208
32307.0,0.078613,0.344238,0.949219,-0.271792,1.376279,-0.980315,0.114746,-1.566406,1.349609,0.945942,0.19132,-0.142557,still,1.120000,session_20260606_121208
32317.0,0.352051,2.01123,0.574219,-0.639243,0.515605,-0.990708,0.114746,-1.548828,1.375977,0.918496,-0.048763,0.140959,still,1.130000,session_20260606_121208
32327.0,0.242187,1.992188,0.624512,-0.636845,0.601672,-0.75702,0.133789,-1.517578,1.400391,1.127136,-0.287513,0.144956,still,1.140000,session_20260606_121208
32337.0,0.431152,1.885742,0.599121,-0.840956,0.888919,-0.595544,0.094727,-1.535645,1.376953,1.641942,-0.596876,0.00453,still,1.150000,session_20260606_121208
32347.0,-0.035645,1.924316,0.008301,0.239017,1.094628,-0.697599,0.053223,-1.65918,1.167969,2.038704,-0.863338,-0.110315,still,1.160000,session_20260606_121208
32357.0,0.333008,2.016113,0.472168,-0.581688,0.546515,-1.230524,0.048828,-1.53125,1.386719,2.578024,-1.037072,-0.077807,still,1.170000,session_20260606_121208
32367.0,0.21875,2.221191,0.54248,-1.550012,0.790594,-0.903041,0.09082,-1.460449,1.439453,2.851415,-0.9574,-0.281118,still,1.180000,session_20260606_121208
32377.0,0.520508,1.883789,0.668945,-1.066116,0.703994,-0.748227,0.049316,-1.483887,1.410645,2.931887,-1.038937,-0.45272,still,1.190000,session_20260606_121208
32387.0,0.315918,1.787109,0.678223,-0.240616,0.427139,-0.348266,0.005371,-1.483887,1.430176,3.305467,-1.205476,-0.622456,still,1.200000,session_20260606_121208
32397.0,0.152832,1.943848,0.653809,-0.368784,0.295507,-0.353596,0.025879,-1.460449,1.440918,3.442695,-1.300337,-0.394897,still,1.210000,session_20260606_121208
32407.0,0.233887,1.989258,0.635742,-0.408221,0.314159,-0.724512,0.11084,-1.505859,1.49707,3.592447,-1.362156,-0.563835,still,1.220000,session_20260606_121208
32417.0,0.21582,1.932129,0.655273,-0.180928,0.24781,-0.660028,0.195801,-1.444336,1.575684,3.917265,-1.338175,-0.529194,still,1.230000,session_20260606_121208
32427.0,0.130371,1.979004,0.625977,-0.359991,0.249675,-0.363988,0.698242,-1.408691,2.543945,3.460282,-1.568665,-4.295641,still,1.240000,session_20260606_121208
32437.0,0.291992,1.96582,0.672852,-0.472704,0.089265,-0.314159,0.380371,0.649902,1.777344,3.543951,-2.544717,3.97562,still,1.250000,session_20260606_121208
32447.0,0.28418,1.984863,0.658203,-0.189721,-0.390101,-0.384239,-0.016602,-0.96875,1.352539,2.695268,-1.738668,0.297639,still,1.260000,session_20260606_121208
32457.0,0.384277,1.921387,0.682129,0.23875,-0.987243,-0.318423,-0.064941,-0.004883,1.853027,3.148787,-1.274224,1.449822,still,1.270000,session_20260606_121208
32467.0,0.152832,1.995117,0.681152,0.616061,-1.545216,0.674417,0.182617,-0.911133,1.965332,2.591614,-0.997369,0.795124,still,1.280000,session_20260606_121208
32477.0,0.348145,2.051758,0.772949,1.337375,-1.071979,-0.192386,0.285645,-1.250977,1.62207,3.068582,-0.783666,0.511874,still,1.290000,session_20260606_121208
32487.0,0.43457,2.015625,0.638672,2.317691,-4.95487,0.693868,0.236328,-1.201172,1.79541,1.734404,-0.688539,0.686141,still,1.300000,session_20260606_121208
32497.0,0.115723,2.020508,0.439453,1.722147,-4.076077,0.968325,0.28418,-1.227051,1.777832,0.70879,-0.568897,0.613663,still,1.310000,session_20260606_121208
32507.0,0.276855,1.88623,0.404785,3.064585,-6.525666,1.105286,0.202148,-1.130859,1.733887,0.520668,-0.397029,0.300037,still,1.320000,session_20260606_121208
